JJ,DT,NN,Pa,Pr
JJ,DT,MD,Pa,Ft
MD,DT,NN,Pr,Pr
MD,DT,JJ,Pa,Pr
RP,DT,NN,Pr,Pr
RB,DT,RBS,Pa,Pr
RB,DT,NN,Pa,Pr
RB,DT,NNP,Pa,Pr
RB,DT,JJ,Pa,Pr
RB,DT,",",Pa,Pr
RB,DT,:,Ft,Pr
RB,DT,VBZ,Pa,Pr
RB,DT,VBD,Pa,Pa
RB,DT,MD,Pa,Ft
RB,DT,CD,Pa,Pr
PRP,DT,NN,Pa,Pr
